month,Mmm,quarter,fiscal_year
"Monday, April 1, 2019",Apr,Q1,2019
"Wednesday, May 1, 2019",May,Q1,2019
"Saturday, June 1, 2019",Jun,Q1,2019
"Monday, July 1, 2019",Jul,Q2,2019
"Thursday, August 1, 2019",Aug,Q2,2019
"Sunday, September 1, 2019",Sep,Q2,2019
"Tuesday, October 1, 2019",Oct,Q3,2019
"Friday, November 1, 2019",Nov,Q3,2019
"Sunday, December 1, 2019",Dec,Q3,2019
"Wednesday, January 1, 2020",Jan,Q4,2019
"Saturday, February 1, 2020",Feb,Q4,2019
"Sunday, March 1, 2020",Mar,Q4,2019
"Wednesday, April 1, 2020",Apr,Q1,2020
"Friday, May 1, 2020",May,Q1,2020
"Monday, June 1, 2020",Jun,Q1,2020
"Wednesday, July 1, 2020",Jul,Q2,2020
"Saturday, August 1, 2020",Aug,Q2,2020
"Tuesday, September 1, 2020",Sep,Q2,2020
"Thursday, October 1, 2020",Oct,Q3,2020
"Sunday, November 1, 2020",Nov,Q3,2020
"Tuesday, December 1, 2020",Dec,Q3,2020
"Friday, January 1, 2021",Jan,Q4,2020
"Monday, February 1, 2021",Feb,Q4,2020
"Monday, March 1, 2021",Mar,Q4,2020
"Thursday, April 1, 2021",Apr,Q1,2021
"Saturday, May 1, 2021",May,Q1,2021
"Tuesday, June 1, 2021",Jun,Q1,2021
"Thursday, July 1, 2021",Jul,Q2,2021
"Sunday, August 1, 2021",Aug,Q2,2021
"Wednesday, September 1, 2021",Sep,Q2,2021
"Friday, October 1, 2021",Oct,Q3,2021
"Monday, November 1, 2021",Nov,Q3,2021
"Wednesday, December 1, 2021",Dec,Q3,2021
"Saturday, January 1, 2022",Jan,Q4,2021
"Tuesday, February 1, 2022",Feb,Q4,2021
"Tuesday, March 1, 2022",Mar,Q4,2021
"Friday, April 1, 2022",Apr,Q1,2022
"Sunday, May 1, 2022",May,Q1,2022
"Wednesday, June 1, 2022",Jun,Q1,2022
"Friday, July 1, 2022",Jul,Q2,2022
"Monday, August 1, 2022",Aug,Q2,2022
"Thursday, September 1, 2022",Sep,Q2,2022
"Saturday, October 1, 2022",Oct,Q3,2022
"Tuesday, November 1, 2022",Nov,Q3,2022
"Thursday, December 1, 2022",Dec,Q3,2022
"Sunday, January 1, 2023",Jan,Q4,2022
"Wednesday, February 1, 2023",Feb,Q4,2022
"Wednesday, March 1, 2023",Mar,Q4,2022
